track,artist,genre,year
Progress,John Rich,Country,2022
Running Up That Hill (A Deal with God),Kate Bush,Pop,1985
About Damn Time,Lizzo,Pop,2022
The Kind of Love We Make,Luke Combs,Country,2022
As It Was,Harry Styles,Pop,2022
Y'all Life,Walker Hayes,Country,2022
BREAK MY SOUL,Beyoncé,Pop,2022
She Had Me At Heads Carolina,Cole Swindell,Country,2022
Wasted On You,Morgan Wallen,Country,2021
You Proof,Morgan Wallen,Country,2022
I Ain't Worried,OneRepublic,Pop,2022
Unstoppable,Sia,Pop,2016
Rock and A Hard Place,Bailey Zimmerman,Country,2022
You Can Have Him Jolene,Chapel Hart,Country,2021
TV,Billie Eilish,Alternative,2022
Sunroof,Nicky Youre & Dazy,Pop,2021
Grand,Kane Brown,Pop,2022
Ophelia,The Lumineers,Alternative,2016
Like I Love Country Music,Kane Brown,Country,2022
A Sky Full of Stars,Coldplay,Alternative,2014
I Like You (A Happier Song) [feat. Doja Cat],Post Malone,Hip-Hop / Rap,2022
First Class,Jack Harlow,Hip-Hop / Rap,2022
CHANT,Macklemore & Tones And I,Hip-Hop / Rap,2022
Hold My Hand,Lady Gaga,Pop,2022
Numb,Marshmello & Khalid,R&B / Soul,2022
5 Foot 9,Tyler Hubbard,Country,2022
Wild Child,The Black Keys,Alternative,2022
Son Of A Sinner,Jelly Roll,Rock,2021
Master of Puppets,Metallica,Heavy Metal,1986
Believer,Imagine Dragons,Alternative,2017
Fall In Love,Bailey Zimmerman,Country,2022
Late Night Talking,Harry Styles,Pop,2022
Damn Strait,Scotty McCreery,Country,2021
Don’t Come Lookin’,Jackson Dean,Country,2021
Cold Heart (PNAU Remix),Elton John & Dua Lipa,Pop,2021
AA,Walker Hayes,Country,2021
Names,Tom MacDonald,Hip-Hop / Rap,2022
Victoria’s Secret,Jax,Pop,2022
Left and Right,Charlie Puth & Jung Kook,Pop,2022
Glimpse of Us,Joji,Pop,2022
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,Pop,2022
Tennessee Whiskey,Chris Stapleton,Country,2015
'Til You Can't,Cody Johnson,Country,2021
Fancy Like,Walker Hayes,Country,2021
About Damn Time,Lizzo,Pop,2022
Both Sides Now,Joni Mitchell,Pop,2000
Soul,Lee Brice,Country,2020
Irrelevant,P!nk,Pop,2022
Hey Jealousy,Gin Blossoms,Alternative,1992
Betty (Get Money),Yung Gravy,Hip-Hop / Rap,2022
Pressurelicious (feat. Future),Megan Thee Stallion,Hip-Hop / Rap,2022
Dance Monkey,Tones And I,Alternative,2019
Silver Bird (Stereo Single Version),Mark Lindsay,Rock,2013
Shivers,Ed Sheeran,Pop,2021
Miracle,A Day to Remember,Rock,2022
Tití Me Preguntó,Bad Bunny,Latin,2022
Whiskey On You,Nate Smith,Country,2022
Synchronize,Milky Chance,Alternative,2022
Big Energy,Latto,Hip-Hop / Rap,2021
Joy of My Life,Chris Stapleton,Country,2020
Sand In My Boots,Morgan Wallen,Country,2021
Take My Name,Parmalee,Country,2021
She Likes It (feat. Jake Scott),Russell Dickerson & Jake Scott,Country,2021
Buy Dirt (feat. Luke Bryan),Jordan Davis,Country,2021
Yellow,Coldplay,Alternative,2000
Smells Like Teen Spirit,Nirvana,Alternative,1991
Sweet Child O' Mine,Guns N' Roses,Unknown,1987
One of Us,Joan Osborne,Alternative,1995
Something in the Orange (Z&E's Version),Zach Bryan,Country,2022
American Pie (Full Length Version),Don Mclean,Rock,1971
Quietly Yours,Birdy,Soundtrack,2022
Big Energy (Remix) [feat. DJ Khaled],Latto & Mariah Carey,Hip-Hop / Rap,2022
I Think I Like You,The Band CAMINO,Alternative,2021
WAIT FOR U (feat. Drake & Tems),Future,Hip-Hop / Rap,2022
Don't Stop Believin',Journey,Rock,1981
The Dying Song (Time To Sing),Slipknot,Heavy Metal,2022
Santeria,Sublime,Alternative,1996
Can't Stop Us Now,Pitbull & Zac Brown,Pop,2022
Under the Bridge,Red Hot Chili Peppers,Alternative,1991
Country On,Luke Bryan,Country,2022
Infinity,Jaymes Young,Alternative,2017
In Jesus Name (God Of Possible),Katy Nichole,Unknown,2022
